sku,batch_no,quantity,mfg_date,expiry_date,status,received_date,product_name,supplier,disposed_at,disposed_by,expiry_dt
BB-14491,BN-BB-14491-01,192.0,2026-06-06,2028-05-07,active,2026-06-18,English Bluebell - Eau De Toilette For Women,CareWell Distributors,,,2028-05-07
BB-14547,BN-BB-14547-01,3900.0,2026-06-03,2028-04-11,active,2026-06-15,Vrikka Sanjivini Vati - Kidney Care,CareWell Distributors,,,2028-04-11
BB-14554,BN-BB-14554-01,92.0,2024-06-18,2026-08-23,active,2024-06-23,Sensitive Everyday Protection Anticavity Toothpaste.,CareWell Distributors,,,2026-08-23
BB-14577,BN-BB-14577-01,198.0,2025-09-16,2026-08-25,active,2025-09-30,California Pistachio,BevCorp India,,,2026-08-25
BB-14614,BN-BB-14614-01,4222.0,2026-06-03,2027-05-18,active,2026-06-15,Premium Soft Diaper Pants - Small Size,BabyBase Supplies,,,2027-05-18
BB-1463,BN-BB-1463-01,168.0,2026-05-03,2028-03-03,active,2026-05-18,Pre Shave Gel Fusion - Hydra Gel Sensitive,CareWell Distributors,,,2028-03-03
BB-14632,BN-BB-14632-01,1237.0,2026-06-08,2027-05-19,active,2026-06-18,Soild Gel Air Freshener - After The Rain Inspiration,CleanHome Supplies,,,2027-05-19
BB-14638,BN-BB-14638-01,1808.0,2026-06-02,2028-07-23,active,2026-06-17,Touch & Glow Advanced Fairness Face Wash,CareWell Distributors,,,2028-07-23
BB-14664,BN-BB-14664-01,811.0,2026-06-08,,active,2026-06-19,Plastic Cubics Container - Blue,BevCorp India,,,
BB-14672,BN-BB-14672-01,76.0,2026-04-20,2028-06-15,active,2026-05-04,Sebium Gel Moussant,CareWell Distributors,,,2028-06-15
BB-14673,BN-BB-14673-01,934.0,2026-06-12,2027-06-09,active,2026-06-20,Anti-Bactarial Laundry Cleaner - Lavender,CleanHome Supplies,,,2027-06-09
BB-14674,BN-BB-14674-01,239.0,2026-06-11,,active,2026-06-18,"Multipurpose Jar With Lid - Acrylic, Bb-1185",GrainCo Vijayawada,,,
BB-14679,BN-BB-14679-01,2262.0,2026-06-11,2027-06-12,active,2026-06-17,"Bucket - Super, Red",CleanHome Supplies,,,2027-06-12
BB-14680,BN-BB-14680-01,666.0,2026-06-10,2028-06-25,active,2026-06-20,Sea Minerals Liquid Handwash Refill,CareWell Distributors,,,2028-06-25
BB-14685,BN-BB-14685-01,2655.0,2026-06-13,2027-06-06,active,2026-06-20,Natural Baby Soothing Relief Wash + Body Lotion,BabyBase Supplies,,,2027-06-06
BB-14694,BN-BB-14694-01,411.0,2026-06-10,2027-03-30,active,2026-06-19,Coffee - Rich Aroma,SweetSource Regional,,,2027-03-30
BB-147,BN-BB-147-01,534.0,2026-06-03,2027-02-11,active,2026-06-18,Tomato Salsa Dip - Enjoy With Nacho Chips,BakeMaster Artisans,,,2027-02-11
BB-1470,BN-BB-1470-01,429.0,2026-06-10,2027-05-11,active,2026-06-20,Brown Rice Weight Watcher,GrainCo Vijayawada,,,2027-05-11
BB-14715,BN-BB-14715-01,1524.0,2026-06-09,2026-07-10,expired,2026-06-15,"Apple - Sliced, Royal Gala",FruitKing South,,,2026-07-10
BB-14726,BN-BB-14726-01,1232.0,2026-06-04,2027-03-14,active,2026-06-17,Peperonate Italian Pepper Dish Made With Fresh Peppers,BakeMaster Artisans,,,2027-03-14
BB-14740,BN-BB-14740-01,108.0,2026-05-22,2026-11-29,active,2026-06-04,Muradabadi Amla Muraba,SweetSource Regional,,,2026-11-29
BB-14741,BN-BB-14741-01,2022.0,2026-06-03,2028-03-21,active,2026-06-17,Baby ToothBrush,CareWell Distributors,,,2028-03-21
BB-14743,BN-BB-14743-01,4997.0,2026-06-05,,active,2026-06-15,Copper Mug Plain With Brass Handle,ChillZone Logistics,,,
BB-14764,BN-BB-14764-01,657.0,2026-06-07,2027-06-24,active,2026-06-16,Cashews,GrainCo Vijayawada,,,2027-06-24
BB-14766,BN-BB-14766-01,129.0,2026-06-05,2026-08-20,active,2026-06-15,Biscuits - Osmania,DairyBest Krishna,,,2026-08-20
BB-14773,BN-BB-14773-01,958.0,2026-06-03,2026-12-13,active,2026-06-16,Cocoa Powder,SweetSource Regional,,,2026-12-13
BB-14776,BN-BB-14776-01,737.0,2026-05-01,2028-03-13,active,2026-05-04,Pre Shave Foam - Classic Regular,CareWell Distributors,,,2028-03-13
BB-14782,BN-BB-14782-01,153.0,2026-06-09,2027-02-14,active,2026-06-15,Upper Assam Black Tea - Finest Collection,FestiveWorld Supplies,,,2027-02-14
BB-14788,BN-BB-14788-01,527.0,2026-06-06,2026-11-15,active,2026-06-19,Papad - Moong,SweetSource Regional,,,2026-11-15
BB-14791,BN-BB-14791-01,942.0,2026-06-11,2027-03-22,active,2026-06-17,Caper Berries Pickle,FestiveWorld Supplies,,,2027-03-22
BB-14793,BN-BB-14793-01,361.0,2026-06-10,2027-05-25,active,2026-06-18,Sabzi Masala,GrainCo Vijayawada,,,2027-05-25
BB-14814,BN-BB-14814-01,1782.0,2026-06-12,2027-06-02,active,2026-06-15,Peela Pooja Chowki Kapda,CleanHome Supplies,,,2027-06-02
BB-14845,BN-BB-14845-01,440.0,2026-06-09,2027-07-08,active,2026-06-19,Detergent Powder - Herbal Wash,CleanHome Supplies,,,2027-07-08
BB-14853,BN-BB-14853-01,0.0,2025-09-14,2026-06-28,disposed,2025-09-23,Nilgiri Oolong Tea - Wa,BevCorp India,2026-06-28 20:43:49,USR002,2026-06-28
BB-14856,BN-BB-14856-01,771.0,2026-06-11,2026-12-14,active,2026-06-17,Twist Sweet & Spicy Sauce,SweetSource Regional,,,2026-12-14
BB-14859,BN-BB-14859-01,580.0,2026-06-11,2028-05-04,active,2026-06-19,"Kitten Wet Cat Food - Super Saver Pack, 2-12 Months, Tuna In Jelly",FestiveWorld Supplies,,,2028-05-04
BB-14869,BN-BB-14869-01,1672.0,2026-06-05,2028-07-14,active,2026-06-15,Basil Pure Essential Oil,CareWell Distributors,,,2028-07-14
BB-14872,BN-BB-14872-01,1008.0,2026-06-15,2027-04-02,active,2026-06-20,Haldi Doodh Mix With Cardamom & Black Pepper,BevCorp India,,,2027-04-02
BB-14878,BN-BB-14878-01,1081.0,2026-06-11,2027-03-22,active,2026-06-19,99% cacao Bitter Extra Kraftig,DairyBest Krishna,,,2027-03-22
BB-14883,BN-BB-14883-01,631.0,2026-06-07,2028-08-04,active,2026-06-15,Quick Style Lithium Cordless Trimmer For Men - Black,CareWell Distributors,,,2028-08-04
BB-14884,BN-BB-14884-01,66.0,2026-06-04,2026-07-10,expired,2026-06-12,Apple - Shimla,FruitKing South,,,2026-07-10
BB-14899,BN-BB-14899-01,254.0,2026-06-07,2027-05-15,active,2026-06-19,Super Glue,CleanHome Supplies,,,2027-05-15
BB-14900,BN-BB-14900-01,277.0,2026-06-08,2027-07-13,active,2026-06-18,"Toilet Roll - 2 Rolls, 3 ply",CleanHome Supplies,,,2027-07-13
BB-14905,BN-BB-14905-01,14.0,2026-06-06,2027-03-24,active,2026-06-16,"After Lunch With Green Tea, Ginger, Tulsi, Rock Salt",BevCorp India,,,2027-03-24
BB-14907,BN-BB-14907-01,212.0,2026-06-14,2026-08-10,active,2026-06-17,Soya Milk - Kesar Pista,DairyBest Krishna,,,2026-08-10
BB-14909,BN-BB-14909-01,1045.0,2026-06-03,2027-03-22,active,2026-06-16,Durum Wheat Pasta - Angel Hair,SweetSource Regional,,,2027-03-22
BB-14912,BN-BB-14912-01,0.0,2025-05-31,2026-06-24,disposed,2025-06-15,Ragi Flour/Ragi Hittu,GrainCo Vijayawada,2026-06-28 20:43:55,USR002,2026-06-24
BB-1492,BN-BB-1492-01,1449.0,2026-06-10,2026-07-22,active,2026-06-20,Roll - Swiss Single,DairyBest Krishna,,,2026-07-22
BB-14925,BN-BB-14925-01,1217.0,2026-06-09,2028-06-14,active,2026-06-17,"Syoss - Renew 7 Complete Repair, 02 Conditioner",CareWell Distributors,,,2028-06-14
BB-14929,BN-BB-14929-01,496.0,2026-06-11,2027-06-05,active,2026-06-15,"Multiutility Plastic Basket With Lid - Brown, Dollar 111",CleanHome Supplies,,,2027-06-05
BB-14935,BN-BB-14935-01,130.0,2026-06-08,2026-07-09,expired,2026-06-18,Fresh Catch Prawn Torpedoes,OilTrade AP,,,2026-07-09
BB-14948,BN-BB-14948-01,834.0,2026-06-05,2028-05-04,active,2026-06-16,Acne Treatment Gel For Oily Skin For Men,CareWell Distributors,,,2028-05-04
BB-14957,BN-BB-14957-01,1759.0,2026-06-09,,active,2026-06-15,Carbon Zinc Battery Red HD AAA 1012,OilTrade AP,,,
BB-14958,BN-BB-14958-01,1045.0,2026-06-05,2027-02-06,active,2026-06-17,Greek Yogurt - Natural,CleanHome Supplies,,,2027-02-06
BB-14961,BN-BB-14961-01,436.0,2026-06-07,2027-05-21,active,2026-06-16,Insta Mosquito Repellent Liquid Refill,CleanHome Supplies,,,2027-05-21
BB-14969,BN-BB-14969-01,337.0,2026-06-17,,active,2026-06-20,"Glass Bottle With Plastic Outer - Ice Green, BB1313",DairyBest Krishna,,,
BB-14984,BN-BB-14984-01,135.0,2026-06-02,2027-02-14,active,2026-06-16,Cream Cheese,FreshFarm Veg Market,,,2027-02-14
BB-14987,BN-BB-14987-01,1309.0,2026-06-07,2027-05-07,active,2026-06-18,Powder - Chilly,GrainCo Vijayawada,,,2027-05-07
BB-14997,BN-BB-14997-01,3156.0,2026-06-08,2026-11-22,active,2026-06-18,Instant - Gojjavalakki Mix (Poha /Aval In Tangy Tamarind Sauce),SweetSource Regional,,,2026-11-22
BB-15007,BN-BB-15007-01,21.0,2026-06-12,2028-06-12,active,2026-06-20,Immunity Booster,CareWell Distributors,,,2028-06-12
BB-15010,BN-BB-15010-01,1771.0,2026-06-02,2027-02-15,active,2026-06-16,Creamy Herb Dip,BakeMaster Artisans,,,2027-02-15
BB-15013,BN-BB-15013-01,53.0,2026-06-07,2026-08-22,active,2026-06-16,Sour Cream,DairyBest Krishna,,,2026-08-22
BB-15027,BN-BB-15027-01,2406.0,2026-06-15,2027-03-11,active,2026-06-19,Original Recipe - Italian Herb Mayo,FestiveWorld Supplies,,,2027-03-11
BB-1503,BN-BB-1503-01,472.0,2026-06-05,2027-05-12,active,2026-06-15,Fields Of Gold Organic Ragi Flour/Ragi Hittu,GrainCo Vijayawada,,,2027-05-12
BB-15037,BN-BB-15037-01,988.0,2026-06-09,2026-11-20,active,2026-06-15,Red Pasta Sauce,SweetSource Regional,,,2026-11-20
BB-15051,BN-BB-15051-01,3391.0,2026-06-05,2027-06-26,active,2026-06-16,Kernel - Plain,GrainCo Vijayawada,,,2027-06-26
BB-15053,BN-BB-15053-01,555.0,2026-06-12,2028-08-06,active,2026-06-20,Beard Softening Cream - Argan & Mint,CareWell Distributors,,,2028-08-06
BB-15061,BN-BB-15061-01,0.0,2025-06-24,2026-06-15,disposed,2025-07-02,"Gel Pen - Black, Octane",CleanHome Supplies,2026-06-28 20:44:03,USR002,2026-06-15
BB-15077,BN-BB-15077-01,348.0,2026-06-08,2026-08-23,active,2026-06-18,Tea Cake - Caramel,DairyBest Krishna,,,2026-08-23
BB-15079,BN-BB-15079-01,0.0,2025-09-15,2026-06-20,disposed,2025-09-26,"Dietary Supplement - Deep Sea Salmon Fish Oil, Premium",FestiveWorld Supplies,2026-06-28 20:44:09,USR002,2026-06-20
BB-15089,BN-BB-15089-01,975.0,2026-06-11,2027-05-16,active,2026-06-17,"Notebook - Unruled, Small",CleanHome Supplies,,,2027-05-16
BB-15093,BN-BB-15093-01,486.0,2026-06-09,2028-06-26,active,2026-06-20,BB Home Loofah Light Pink BH008 LPNK 1 pc+Nivea Shower Gel Body Wash Women 250ml,CareWell Distributors,,,2028-06-26
BB-15099,BN-BB-15099-01,752.0,2026-06-08,2027-06-04,active,2026-06-20,"Decorative Scented Candles - White, BB-1259-3 White",CleanHome Supplies,,,2027-06-04
BB-151,BN-BB-151-01,1146.0,2026-06-10,2026-12-17,active,2026-06-19,Vermicelli - Pearl Millet,SweetSource Regional,,,2026-12-17
BB-15104,BN-BB-15104-01,1638.0,2026-06-11,2027-07-03,active,2026-06-16,Liquid Shoe Polish - Dark Tan,CleanHome Supplies,,,2027-07-03
BB-15107,BN-BB-15107-01,31.0,2026-04-21,,active,2026-05-02,Master Coffee Mugs Set - MW J051,MedLife Wholesale,,,
BB-15115,BN-BB-15115-01,196.0,2026-06-05,2026-08-22,active,2026-06-16,Ice Cream - Choco Almond 'N' Kesar Badam,DairyBest Krishna,,,2026-08-22
BB-15116,BN-BB-15116-01,902.0,2026-06-15,2027-03-14,active,2026-06-18,Rice & Bean chips - Sriracha,OilTrade AP,,,2027-03-14
BB-15154,BN-BB-15154-01,535.0,2026-06-08,,active,2026-06-17,Nirlon Induction Base Rock Marble Tawa,SweetSource Regional,,,
BB-15157,BN-BB-15157-01,1141.0,2026-06-07,2027-06-01,active,2026-06-19,"Vegan Premium Ghee/Tuppa - Palm Oil Free, 100% Natural",GrainCo Vijayawada,,,2027-06-01
BB-15165,BN-BB-15165-01,0.0,2024-06-16,,active,2024-06-22,Disney Minnie Mouse Plastic Kids Sipper Bottle,BevCorp India,,,
BB-15177,BN-BB-15177-01,159.0,2026-06-05,2026-11-29,active,2026-06-17,Whole Almond Bar,SweetSource Regional,,,2026-11-29
BB-15180,BN-BB-15180-01,2340.0,2026-06-07,2028-06-24,active,2026-06-16,Memorica Tablet - Relieves Stress & Enhances Memory,CareWell Distributors,,,2028-06-24
BB-15190,BN-BB-15190-01,915.0,2026-06-03,2026-12-14,active,2026-06-17,"Sweet - Kheer Mohan, Brown Rassogolla",SweetSource Regional,,,2026-12-14
BB-15193,BN-BB-15193-01,566.0,2026-06-15,,active,2026-06-20,Simply Chef 28 cm Non-Stick Kadhai - Rio Red,BevCorp India,,,
BB-15194,BN-BB-15194-01,1102.0,2026-06-10,2027-05-16,active,2026-06-16,Organic Moong Chilka,GrainCo Vijayawada,,,2027-05-16
BB-15199,BN-BB-15199-01,477.0,2026-06-10,2028-05-12,active,2026-06-17,Sesame Seed Oil,CareWell Distributors,,,2028-05-12
BB-1521,BN-BB-1521-01,11.0,2026-06-02,2026-12-17,active,2026-06-15,Carrot Crackers,SweetSource Regional,,,2026-12-17
BB-15228,BN-BB-15228-01,761.0,2026-06-03,2028-05-08,active,2026-06-16,Neemraj Oil,CareWell Distributors,,,2028-05-08
BB-15249,BN-BB-15249-01,123.0,2026-06-06,2026-07-09,expired,2026-06-17,Sausages - Smoked Chicken,MedLife Wholesale,,,2026-07-09
BB-15252,BN-BB-15252-01,5042.0,2026-06-14,2028-05-27,active,2026-06-20,LKC Capsules,CareWell Distributors,,,2028-05-27
BB-15262,BN-BB-15262-01,1198.0,2026-06-12,2028-06-20,active,2026-06-19,Biolage Colorlast Orchid Colour Protecting Conditioner,CareWell Distributors,,,2028-06-20
BB-15271,BN-BB-15271-01,1787.0,2026-06-10,2027-06-23,active,2026-06-18,Fairtrade Malabar Three Peppercorns In Grinder,GrainCo Vijayawada,,,2027-06-23
BB-15276,BN-BB-15276-01,3244.0,2026-06-08,,active,2026-06-18,Borosilicate Glass Baking Rectangular Storage With Red Lid 6 Cup,OilTrade AP,,,
BB-15279,BN-BB-15279-01,553.0,2026-06-02,,active,2026-06-15,Easy Lock Round Plastic Container,ChillZone Logistics,,,
BB-15285,BN-BB-15285-01,198.0,2025-09-21,2026-08-22,active,2025-09-27,Rolled Oats - Gluten Free,SeasonProof Gear,,,2026-08-22
BB-15320,BN-BB-15320-01,2030.0,2026-06-02,,active,2026-06-15,Tuberg Bottle,FestiveWorld Supplies,,,
BB-15325,BN-BB-15325-01,5146.0,2026-06-08,2028-04-14,active,2026-06-17,Air & Surface Disinfectant Spray,CareWell Distributors,,,2028-04-14
BB-15339,BN-BB-15339-01,734.0,2026-06-02,2027-06-22,active,2026-06-15,Basmati Rice/Basmati Akki - Super,GrainCo Vijayawada,,,2027-06-22
BB-15344,BN-BB-15344-01,325.0,2026-06-12,2027-03-06,active,2026-06-15,Kara Coconut Milk - UHT Natural 200 ml + Fresho Meat Mutton - Mince 500 gm,MedLife Wholesale,,,2027-03-06
BB-15349,BN-BB-15349-01,2830.0,2026-06-07,2028-07-29,active,2026-06-17,Glitter Glow Mask,CareWell Distributors,,,2028-07-29
BB-15352,BN-BB-15352-01,745.0,2026-06-05,2027-05-11,active,2026-06-18,Masala - Kofta,GrainCo Vijayawada,,,2027-05-11
BB-15354,BN-BB-15354-01,161.0,2026-06-05,2027-05-19,active,2026-06-16,Matic Liquid - Top Load,CleanHome Supplies,,,2027-05-19
BB-15364,BN-BB-15364-01,5148.0,2026-06-14,2028-06-15,active,2026-06-17,Foaming Face Wash - Himalayan Rose,CareWell Distributors,,,2028-06-15
BB-15427,BN-BB-15427-01,510.0,2026-06-12,2027-07-15,active,2026-06-17,EzeeSqueegee Wiper,CleanHome Supplies,,,2027-07-15
BB-15429,BN-BB-15429-01,330.0,2026-06-06,2028-07-25,active,2026-06-20,Soap Case - Glamour,CareWell Distributors,,,2028-07-25
BB-15436,BN-BB-15436-01,173.0,2026-06-07,2028-07-14,active,2026-06-17,"Dog Food - Chicken & Veg, Puppy",DairyBest Krishna,,,2028-07-14
BB-15442,BN-BB-15442-01,0.0,2025-09-18,2026-06-25,disposed,2025-09-26,Cold Glaze Neutral,CareWell Distributors,2026-06-28 20:44:28,USR002,2026-06-25
BB-15449,BN-BB-15449-01,528.0,2026-06-04,2028-06-02,active,2026-06-15,"Total Effects 7-In-1 - Anti-Ageing Skin Cream Moisturizer, Normal",CareWell Distributors,,,2028-06-02
BB-15458,BN-BB-15458-01,1167.0,2026-06-11,2027-05-05,active,2026-06-19,"Cleaning Duster - Micro Fiber, Multi Purpose",CleanHome Supplies,,,2027-05-05
BB-15462,BN-BB-15462-01,589.0,2026-06-01,2028-07-19,active,2026-06-18,Soft - Light Moisturiser With Vitamin E,CareWell Distributors,,,2028-07-19
BB-15474,BN-BB-15474-01,3046.0,2026-06-10,2028-07-07,active,2026-06-17,Refreshing Menthol Bath Soap,CareWell Distributors,,,2028-07-07
BB-15480,BN-BB-15480-01,1613.0,2026-06-09,,active,2026-06-15,"LPG Hose Pipe - Rubberised, Steel Wire Reinforced, Orange",ChillZone Logistics,,,
BB-15485,BN-BB-15485-01,170.0,2026-06-07,,active,2026-06-18,"Stainless Steel Lunch Box - Tiffin Set, Blue BB 570 3",OilTrade AP,,,
BB-15496,BN-BB-15496-01,1894.0,2026-06-10,2028-07-18,active,2026-06-17,"Body Lotion, Whitening Cool Sensation, SPF 15 & Refreshing Menthol",CareWell Distributors,,,2028-07-18
BB-155,BN-BB-155-01,1168.0,2026-06-05,2028-04-07,active,2026-06-19,Tampons Easy Twist - Regular,CareWell Distributors,,,2028-04-07
BB-1552,BN-BB-1552-01,760.0,2026-06-01,2028-05-16,active,2026-06-16,Fructis - Long & Strong Strengthening Conditioner,CareWell Distributors,,,2028-05-16
BB-15544,BN-BB-15544-01,1966.0,2026-06-04,2028-08-06,active,2026-06-17,Activated Charcoal Peel Off Mask,CareWell Distributors,,,2028-08-06
BB-15545,BN-BB-15545-01,285.0,2026-06-07,,active,2026-06-17,Stainless Steel Container With Lid - Matka Shape,DairyBest Krishna,,,
BB-15546,BN-BB-15546-01,381.0,2026-05-30,2028-04-23,active,2026-06-16,Aura Concentrated Floral Perfume Free From Alcohol For Women,CareWell Distributors,,,2028-04-23
BB-15548,BN-BB-15548-01,922.0,2026-06-15,2026-12-21,active,2026-06-19,Potato Chips,SweetSource Regional,,,2026-12-21
BB-15553,BN-BB-15553-01,1143.0,2026-06-06,2027-05-08,active,2026-06-16,Stain Remover,CleanHome Supplies,,,2027-05-08
BB-15555,BN-BB-15555-01,1262.0,2026-06-03,2027-03-10,active,2026-06-20,"Baked Coconut Chips - Chocolate, Snack Pack",ChillZone Logistics,,,2027-03-10
BB-15563,BN-BB-15563-01,303.0,2026-06-08,2027-02-15,active,2026-06-17,Smooth Milk Chocolate Bar,BabyBase Supplies,,,2027-02-15
BB-15578,BN-BB-15578-01,521.0,2026-06-06,2027-03-02,active,2026-06-18,Healthy Nutmix - Premium International,MedLife Wholesale,,,2027-03-02
BB-1559,BN-BB-1559-01,2352.0,2026-06-04,2027-03-12,active,2026-06-17,Royale Chocolate 500gm + Health Drink - Kesar badam 200gm,BevCorp India,,,2027-03-12
BB-15592,BN-BB-15592-01,356.0,2026-06-08,2027-02-27,active,2026-06-17,Gourmets Delite  Wafers - Strawberry 75 gm Pouch,FruitKing South,,,2027-02-27
BB-15593,BN-BB-15593-01,0.0,2024-06-18,2026-06-14,disposed,2024-06-28,Ylang Ylang Essential Oil,CareWell Distributors,2026-06-28 16:02:07,USR002,2026-06-14
BB-15597,BN-BB-15597-01,895.0,2026-06-08,2028-05-23,active,2026-06-17,Eau De Toilette - Homme Green,CareWell Distributors,,,2028-05-23
BB-15598,BN-BB-15598-01,5278.0,2026-06-04,,active,2026-06-18,"Tea Strainer - Stainless Steel, Silver, Bb-667",BabyBase Supplies,,,
BB-156,BN-BB-156-01,1247.0,2026-06-11,2027-02-13,active,2026-06-20,100% Pure Honey - Infused With Lemon,DairyBest Krishna,,,2027-02-13
BB-15600,BN-BB-15600-01,939.0,2026-06-13,2026-12-04,active,2026-06-20,FunFoods Veg Mayonnaise Olive Oil,SweetSource Regional,,,2026-12-04
BB-15622,BN-BB-15622-01,1012.0,2026-06-09,2027-02-10,active,2026-06-19,Cheese Spread,FestiveWorld Supplies,,,2027-02-10
BB-1564,BN-BB-1564-01,741.0,2026-06-07,2027-06-17,active,2026-06-15,Bathroom Tile Scrubber Brush,CleanHome Supplies,,,2027-06-17
BB-15640,BN-BB-15640-01,21.0,2026-06-09,,active,2026-06-16,"Diamond Lock Plastic Container - Printed, Rectangle, Assorted Colour",SeasonProof Gear,,,
BB-15645,BN-BB-15645-01,2863.0,2026-06-07,2027-06-27,active,2026-06-19,"Organic - Mustard/Sasive/Rai, Small",GrainCo Vijayawada,,,2027-06-27
BB-15649,BN-BB-15649-01,1307.0,2026-06-06,2028-06-04,active,2026-06-15,"Gift Set - SG + EDT + Deo, Blue 8",CareWell Distributors,,,2028-06-04
BB-1565,BN-BB-1565-01,0.0,2025-09-07,2026-06-21,disposed,2025-09-21,Salsa Stir-fry Sauce,BevCorp India,2026-06-28 16:09:31,USR002,2026-06-21
BB-15654,BN-BB-15654-01,1978.0,2026-06-02,,active,2026-06-15,Opalware Ivory Dinner Plate Set - Autumn Shadow,BevCorp India,,,
BB-15661,BN-BB-15661-01,920.0,2026-06-05,2027-02-19,active,2026-06-17,"Spread - Roasted Red Pepper Pesto, With Chironji Seeds",CareWell Distributors,,,2027-02-19
BB-15662,BN-BB-15662-01,179.0,2026-06-03,2027-03-08,active,2026-06-16,"Grapefruit Tonic Water - All Natural, Low In Sugar",FruitKing South,,,2027-03-08
BB-15678,BN-BB-15678-01,1967.0,2026-06-07,2028-04-21,active,2026-06-16,Hair Styling Gel,CareWell Distributors,,,2028-04-21
BB-15693,BN-BB-15693-01,1858.0,2026-06-08,2028-06-04,active,2026-06-18,Deep Cleansing Lotion,CareWell Distributors,,,2028-06-04
BB-15704,BN-BB-15704-01,1891.0,2026-06-07,2028-07-06,active,2026-06-19,Face Wash - Oily Skin,CareWell Distributors,,,2028-07-06
BB-15705,BN-BB-15705-01,1449.0,2026-06-11,,active,2026-06-15,"Steel Storage/Lunch Container - No.14, Pink, Klip It",BevCorp India,,,
BB-15709,BN-BB-15709-01,126.0,2026-06-06,2027-06-18,active,2026-06-18,Surface Disinfectant Spray,CleanHome Supplies,,,2027-06-18
BB-15713,BN-BB-15713-01,1502.0,2026-06-03,2027-07-09,active,2026-06-15,"Ball Pen - Fyro, Black",CleanHome Supplies,,,2027-07-09
BB-15719,BN-BB-15719-01,603.0,2026-06-07,2027-03-20,active,2026-06-18,Protein Seed Mix,FreshFarm Veg Market,,,2027-03-20
BB-15730,BN-BB-15730-01,516.0,2026-06-04,2028-07-29,active,2026-06-17,DC 4 U For Women,CareWell Distributors,,,2028-07-29
BB-15769,BN-BB-15769-01,463.0,2026-06-07,2026-12-21,active,2026-06-19,Kodabale Mini,SweetSource Regional,,,2026-12-21
BB-15797,BN-BB-15797-01,649.0,2025-06-12,2026-08-23,active,2025-06-21,Spanish Corn - Roasted & Salted,GrainCo Vijayawada,,,2026-08-23
BB-15808,BN-BB-15808-01,273.0,2026-06-04,2028-06-05,active,2026-06-18,Amla & Zinc Fizz Supplement For Strong Immunity & Everyday Wellness,CareWell Distributors,,,2028-06-05
BB-15820,BN-BB-15820-01,5153.0,2026-06-14,,active,2026-06-20,"Trendy Stainless Steel Bottle With Steel Cap - Metallic Pink Finish, PXP 1002 BK",CleanHome Supplies,,,
BB-15856,BN-BB-15856-01,578.0,2026-06-11,2028-07-04,active,2026-06-19,Deodorant Spray - Original,CareWell Distributors,,,2028-07-04
BB-1586,BN-BB-1586-01,782.0,2026-06-12,2026-11-29,active,2026-06-17,Cup Noodles Mazedaar Masala,SweetSource Regional,,,2026-11-29
BB-15860,BN-BB-15860-01,103.0,2024-06-11,2026-08-23,active,2024-06-20,Pure Hands Moisturizing Hand Wash -  Tulsi & Aloe,CareWell Distributors,,,2026-08-23
BB-15872,BN-BB-15872-01,1259.0,2026-06-09,2028-06-20,active,2026-06-19,Cucumber Cell Rejuvenating Moisturising Gel,CareWell Distributors,,,2028-06-20
BB-15879,BN-BB-15879-01,357.0,2026-06-14,,active,2026-06-19,"Keep Fresh Pet Container - Printed, Premium, Pink",OilTrade AP,,,
BB-15885,BN-BB-15885-01,1610.0,2026-06-06,2028-05-03,active,2026-06-19,Organic Vata Tea,CareWell Distributors,,,2028-05-03
BB-1589,BN-BB-1589-01,1817.0,2026-06-07,2028-07-14,active,2026-06-20,Facial Kit - Pearl,CareWell Distributors,,,2028-07-14
BB-15892,BN-BB-15892-01,3755.0,2026-06-04,,active,2026-06-17,"Serving Bowl Set - Diamond, Big",PaperEdge Stationery,,,
BB-15910,BN-BB-15910-01,2891.0,2026-06-12,2027-05-06,active,2026-06-16,"Dustbin/Basket - Plastic, Orange, OR BB 617 2",CleanHome Supplies,,,2027-05-06
BB-15935,BN-BB-15935-01,175.0,2026-06-10,2027-06-12,active,2026-06-19,Walnut Kernels/Akharot Tukda 200gm + Cashew Whole 500gm + Raisins Indian 500gm,GrainCo Vijayawada,,,2027-06-12
BB-1596,BN-BB-1596-01,869.0,2026-06-06,2027-03-22,active,2026-06-18,Pumpkin Seeds - Roasted,BakeMaster Artisans,,,2027-03-22
BB-15962,BN-BB-15962-01,911.0,2026-06-05,2027-03-18,active,2026-06-16,Red Pepper Sauce,PaperEdge Stationery,,,2027-03-18
BB-15977,BN-BB-15977-01,195.0,2026-06-07,2027-03-25,active,2026-06-18,Shikanji & Chaat Savoury Taste Makers,OilTrade AP,,,2027-03-25
BB-15986,BN-BB-15986-01,122.0,2026-06-08,2027-05-04,active,2026-06-15,"Clothes Storage Laundry Bag - Printed, Brown, BB-564BRWN",CleanHome Supplies,,,2027-05-04
BB-15998,BN-BB-15998-01,553.0,2026-06-07,2027-02-12,active,2026-06-16,Green Tea - Natural,BevCorp India,,,2027-02-12
BB-16012,BN-BB-16012-01,597.0,2026-06-06,,active,2026-06-15,"Stainless Steel Lunch Box/Tiffin Box Tiffin Insulated - Happy Meal, Blue",MedLife Wholesale,,,
BB-16026,BN-BB-16026-01,232.0,2024-06-20,2026-08-25,active,2024-06-29,Hair Conditioner Oily Hair,CareWell Distributors,,,2026-08-25
BB-16031,BN-BB-16031-01,1110.0,2026-06-16,,active,2026-06-20,"Polpat - Plastic, Medium",SweetSource Regional,,,
